"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotBathrooms","Remod","Age"
"13","1 story 1946+","RL",84,12968,1,"None",1,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,3,3,"CBlock",3,3,1,5,737,1,0,175,"GasA",3,1,"SBrkr",912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,"Detchd",1,1,3,3,2,140,0,0,0,176,0,0,"None","None",0,"9","2008","WD","Normal",11.8775685785581,2,0,-1959
"14","1 story 1946+","RL",91,10652,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,4,3,"PConc",4,3,3,1,0,1,0,1494,"GasA",5,1,"SBrkr",1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2,3,3,3,2,160,33,0,0,0,0,0,"None","None",0,"8","2007","New","Partial",12.5407575715773,2,1,-2005
"15","1 story 1946+","RL",75,10920,1,"None",2,"Lvl","Corner",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,3,3,"CBlock",3,3,1,4,733,1,0,520,"GasA",3,1,"SBrkr",1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,"Attchd",2,1,3,3,2,0,213,176,0,0,0,0,"GdWo","None",0,"5","2008","WD","Normal",11.9640010843304,2.5,0,-1957
"16","1,5 story unf","RM",51,6120,1,"None",3,"Lvl","Corner",2,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,832,"GasA",5,1,"FuseA",854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,"Detchd",1,2,3,3,2,48,112,0,0,0,0,0,"GdPrv","None",0,"7","2007","WD","Normal",11.7905572015685,1,1,-1999
"17","1 story 1946+","RL",62,11241,1,"None",2,"Lvl","CulDSac",2,"NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,3,3,"CBlock",3,3,1,5,578,1,0,426,"GasA",5,1,"SBrkr",1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,"Attchd",3,2,3,3,2,0,0,0,0,0,0,0,"None","Shed",700,"3","2010","WD","Normal",11.9117015849276,2,0,-1965
"18","duplex all style/age","RL",72,10791,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"Slab",0,0,0,0,0,0,0,0,"GasA",3,1,"SBrkr",1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,"CarPort",1,2,3,3,2,0,0,0,0,0,0,0,"None","Shed",500,"10","2006","WD","Normal",11.4075649493124,2,0,-1966
"19","1 story 1946+","RL",66,13695,1,"None",3,"Lvl","Inside",2,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,1,6,646,1,0,468,"GasA",5,1,"SBrkr",1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,"Detchd",1,2,3,3,2,0,102,0,0,0,0,0,"None","None",0,"6","2008","WD","Normal",11.9766594812024,2.5,0,-2001
"20","1 story 1946+","RL",70,7560,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,3,3,"CBlock",3,3,1,2,504,1,0,525,"GasA",3,1,"SBrkr",1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"5","2009","COD","Abnorml",11.8422292121128,1,1,-1961
"22","1,5 story unf","RM",57,7449,1,"Grvl",3,"Bnk","Inside",2,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,1,0,1,0,637,"GasA",5,1,"FuseF",1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,"Attchd",1,1,3,3,0,0,0,205,0,0,0,0,"GdPrv","None",0,"6","2007","WD","Normal",11.8451027773086,1,1,-1948
"23","1 story 1946+","RL",75,9742,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,4,3,"PConc",4,3,1,1,0,1,0,1777,"GasA",5,1,"SBrkr",1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2,2,3,3,2,171,159,0,0,0,0,0,"None","None",0,"9","2008","WD","Normal",12.3458345879053,2,0,-1999
"24","1 story PUD 1946+","RM",44,4224,1,"None",3,"Lvl","Inside",2,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,3,3,"PConc",4,3,1,6,840,1,0,200,"GasA",3,1,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1,2,3,3,2,100,110,0,0,0,0,0,"None","None",0,"6","2007","WD","Normal",11.7745202026587,2,0,-1974
"25","1 story 1946+","RL",66,8246,1,"None",2,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,3,4,"CBlock",3,3,2,3,188,5,668,204,"GasA",5,1,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,"Attchd",1,1,3,3,2,406,90,0,0,0,0,0,"MnPrv","None",0,"5","2010","WD","Normal",11.9447078813958,2,1,-1996
"26","1 story 1946+","RL",110,14230,1,"None",3,"Lvl","Corner",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,4,3,"PConc",4,3,1,1,0,1,0,1566,"GasA",5,1,"SBrkr",1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2,3,3,3,2,0,56,0,0,0,0,0,"None","None",0,"7","2009","WD","Normal",12.4541039123522,2,0,-2003
"27","1 story 1946+","RL",60,7200,1,"None",3,"Lvl","Corner",2,"NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,2,4,234,3,486,180,"GasA",3,1,"SBrkr",900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,"Detchd",1,2,3,3,2,222,32,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",11.8115474774603,1.5,1,-1995
"28","1 story 1946+","RL",98,11478,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,4,3,"PConc",5,3,1,6,1218,1,0,486,"GasA",5,1,"SBrkr",1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2,3,3,3,2,0,50,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",12.6313403809345,3,1,-2003
"29","1 story 1946+","RL",47,16321,1,"None",2,"Lvl","CulDSac",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,4,4,1277,1,0,207,"GasA",3,1,"SBrkr",1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,"Attchd",2,1,3,3,2,288,258,0,0,0,0,0,"None","None",0,"12","2006","WD","Normal",12.2428866186529,2,1,-1996
"30","1 story 1945-","RM",60,6324,1,"None",2,"Lvl","Inside",2,"BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,520,"GasA",2,0,"SBrkr",520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,"Detchd",1,1,2,3,2,49,0,87,0,0,0,0,"None","None",0,"5","2008","WD","Normal",11.1345890242503,1,1,-1947
"32","1 story 1946+","RL",66,8544,1,"None",2,"Lvl","CulDSac",2,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,1,0,1,0,1228,"GasA",4,1,"SBrkr",1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,"Attchd",1,1,3,3,2,0,65,0,0,0,0,0,"MnPrv","None",0,"6","2008","WD","Normal",11.9140478236443,1.5,1,-2003
"34","1 story 1946+","RL",70,10552,1,"None",2,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,3,3,"CBlock",3,3,1,3,1018,1,0,380,"GasA",4,1,"SBrkr",1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,"Attchd",2,2,3,3,2,0,38,0,0,0,0,0,"None","None",0,"4","2010","WD","Normal",12.0167264737993,2,0,-1954
"35","1 story PUD 1946+","RL",60,7313,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,5,3,"PConc",5,3,1,6,1153,1,0,408,"GasA",5,1,"SBrkr",1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,"Attchd",3,2,3,3,2,203,47,0,0,0,0,0,"None","None",0,"8","2007","WD","Normal",12.5335762121686,3,0,-2003
"38","1 story 1946+","RL",74,8532,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,3,3,"CBlock",3,3,1,3,1213,1,0,84,"GasA",4,1,"SBrkr",1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,"Attchd",3,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,"10","2009","WD","Normal",11.9381932003746,1.5,1,-1986
"40","duplex all style/age","RL",65,6040,1,"None",3,"Lvl","Inside",2,"Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,3,3,"PConc",0,0,0,0,0,0,0,0,"GasA",3,0,"FuseP",1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,"None",0,0,0,0,0,0,0,0,0,0,0,0,"None","None",0,"6","2008","WD","AdjLand",11.3144745262464,2,0,-1952
"41","1 story 1946+","RL",84,8658,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,3,3,"CBlock",3,3,1,3,643,1,0,445,"GasA",5,1,"SBrkr",1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,"Attchd",2,2,3,3,2,0,138,0,0,0,0,0,"GdWo","None",0,"12","2006","WD","Abnorml",11.982929094216,2,0,-1964
"42","1 story 1946+","RL",115,16905,1,"None",3,"Lvl","Inside",2,"Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,3,4,"CBlock",3,3,4,4,967,1,0,383,"GasA",4,1,"SBrkr",1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,"Attchd",2,1,3,3,1,0,104,0,0,0,0,0,"None","None",0,"7","2007","WD","Normal",12.0435537160324,2,0,-1957
"43","split foyer","RL",75,9180,1,"None",2,"Lvl","CulDSac",2,"SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",4,3,3,5,747,2,93,0,"GasA",4,1,"SBrkr",884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,"Attchd",2,2,3,4,2,240,0,0,0,0,0,0,"MnPrv","None",0,"12","2007","WD","Normal",11.8775685785581,2,0,-1981
"44","1 story 1946+","RL",75,9200,1,"None",2,"Lvl","CulDSac",2,"CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",4,3,3,2,280,4,491,167,"GasA",3,1,"SBrkr",938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1,1,3,3,2,145,0,0,0,0,0,0,"MnPrv","None",0,"7","2008","WD","Normal",11.7772109596156,2,1,-1977
"45","1 story 1946+","RL",70,7945,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,3,3,"CBlock",3,3,1,5,179,4,506,465,"GasA",5,1,"FuseA",1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,"Attchd",2,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,"5","2006","WD","Normal",11.8565151693603,2,0,-1958
"46","1 story PUD 1946+","RL",61,7658,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,5,3,"PConc",5,3,1,6,456,1,0,1296,"GasA",5,1,"SBrkr",1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,4,"Attchd",2,2,3,3,2,196,82,0,0,0,0,0,"None","None",0,"2","2010","WD","Normal",12.6757637259376,3,0,-2000
"48","1 story 1946+","FV",84,11096,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,3,6,24,1,0,1632,"GasA",5,1,"SBrkr",1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2,3,3,3,2,0,146,0,0,0,0,0,"None","None",0,"7","2007","WD","Normal",12.4280154762679,2,0,-2004
"49","2 family conversion","RM",33,4456,1,"None",3,"Lvl","Inside",2,"OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,736,"GasA",4,1,"SBrkr",736,716,0,1452,0,0,2,0,2,3,3,8,7,0,0,"None",0,0,0,0,0,0,0,102,0,0,0,0,"None","None",0,"6","2009","New","Partial",11.6351430976945,2,1,-2004
"50","1 story 1946+","RL",66,7742,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,4,763,1,0,192,"GasA",5,1,"SBrkr",955,0,0,955,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"1","2007","WD","Normal",11.7519423654407,2,0,-1964
"51","2 story 1946+","RL",98,13869,1,"None",1,"Lvl","Corner",2,"Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,3,6,182,1,0,612,"GasA",4,1,"SBrkr",794,676,0,1470,0,1,2,0,3,1,3,6,7,0,0,"Attchd",3,2,3,3,2,0,75,0,0,0,0,0,"None","None",0,"7","2007","WD","Normal",12.083905011556,2.5,0,-1995
"52","1,5 story fin","RM",52,6240,1,"None",3,"Lvl","Inside",2,"BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,1,0,1,0,816,"GasA",3,1,"SBrkr",816,0,360,1176,0,0,1,0,3,1,3,6,7,1,4,"Detchd",1,2,3,3,2,112,0,0,0,0,0,0,"MnPrv","Shed",400,"9","2006","WD","Normal",11.6483301019764,1,1,-1949
"53","duplex all style/age","RM",110,8472,0,"None",1,"Bnk","Corner",1,"IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",4,3,4,2,104,6,712,0,"GasA",3,0,"SBrkr",816,0,0,816,1,0,1,0,2,1,3,5,7,0,0,"CarPort",1,2,3,3,2,106,0,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",11.6082356447746,2,0,-1958
"54","1 story 1946+","RL",68,50271,1,"None",2,"Low","Inside",2,"Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng","None",0,4,3,"CBlock",5,3,4,6,1810,1,0,32,"GasA",4,1,"SBrkr",1842,0,0,1842,2,0,0,1,0,1,4,5,7,1,4,"Attchd",3,3,3,3,2,857,72,0,0,0,0,0,"None","None",0,"11","2006","WD","Normal",12.8609986132699,2.5,1,-1986
"57","2 story PUD 1946+","FV",24,2645,1,"Pave",3,"Lvl","Inside",2,"Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,4,3,"PConc",4,3,1,6,649,1,0,321,"GasA",5,1,"SBrkr",983,756,0,1739,1,0,2,1,3,1,4,7,7,0,0,"Attchd",3,2,3,3,2,115,0,0,0,0,0,0,"None","None",0,"8","2009","WD","Abnorml",12.0581525154536,3.5,1,-1996
"58","2 story 1946+","RL",89,11645,1,"None",2,"Lvl","Corner",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,860,"GasA",5,1,"SBrkr",860,860,0,1720,0,0,2,1,3,1,4,7,7,0,0,"Attchd",2,2,3,3,2,0,70,0,0,0,0,0,"None","None",0,"8","2006","WD","Normal",12.1884177102915,2.5,0,-2003
"59","2 story 1946+","RL",66,13682,1,"None",1,"HLS","CulDSac",2,"StoneBr","Norm","Norm","1Fam","2Story",10,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1031,5,3,"PConc",5,3,4,1,0,1,0,1410,"GasA",5,1,"SBrkr",1426,1519,0,2945,0,0,3,1,3,1,4,10,7,1,4,"BuiltIn",3,3,3,3,2,192,0,37,0,0,0,0,"None","None",0,"10","2006","New","Partial",12.9917534274931,3.5,0,-2005
"60","1 story 1946+","RL",60,7200,1,"None",3,"Bnk","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",5,7,1972,1972,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,3,5,632,1,0,148,"GasA",5,1,"SBrkr",780,0,0,780,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,1,3,3,2,196,0,0,0,0,0,0,"MnPrv","None",0,"1","2008","WD","Normal",11.7352686961137,1,0,-1969
"61","1 story 1946+","RL",63,13072,1,"None",3,"Lvl","Inside",2,"SawyerW","RRAe","Norm","1Fam","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,1,5,941,1,0,217,"GasA",5,1,"SBrkr",1158,0,0,1158,1,0,1,1,3,1,4,5,7,0,0,"Detchd",1,2,3,3,2,0,50,0,0,0,0,0,"None","None",0,"5","2006","New","Partial",11.9703503120091,2.5,0,-2003
"62","2,5 story all ages","RM",60,7200,1,"None",3,"Lvl","Inside",2,"IDOTRR","Norm","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,2,1,1,0,1,0,530,"GasA",3,0,"SBrkr",581,530,0,1111,0,0,1,0,3,1,2,6,7,0,0,"Detchd",1,1,3,3,0,0,0,144,0,0,0,0,"None","None",0,"3","2007","WD","Normal",11.5228757958234,1,1,-1994
"63","1 story PUD 1946+","RL",44,6442,1,"None",2,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,4,3,"PConc",4,4,2,6,24,1,0,1346,"GasA",5,1,"SBrkr",1370,0,0,1370,0,0,2,0,2,1,4,6,7,1,4,"Attchd",2,2,3,3,2,120,49,0,0,0,0,0,"None","None",0,"10","2007","WD","Normal",12.2184951655287,2,0,-2004
"64","2 story 1945-","RM",50,10300,1,"None",2,"Bnk","Inside",2,"OldTown","RRAn","Feedr","1Fam","2Story",7,6,1921,1950,"Gable","CompShg","Stucco","Stucco","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,576,"GasA",4,1,"SBrkr",902,808,0,1710,0,0,2,0,3,1,3,9,7,0,0,"Detchd",1,2,3,3,2,12,11,64,0,0,0,0,"GdPrv","None",0,"4","2010","WD","Normal",11.8493977015914,2,1,-1945
